name,team,battingStyle,bowlingStyle,playingRole,description
Ali Khan,U.S.A.,Right hand Bat,Right arm Fast medium,Bowler,"Few US players have had a more unusual path to international cricket than Ali Khan. Born and raised in Pakistan, he moved to USA with his parents at the age of 18, settling in Ohio. He was a regular in various private T20 cricket tournaments around the USA, but it wasn't until ICC Americas organised an open trial at Indianapolis in September 2015 that he gained wider attention on the national scene."
Quinton de Kock,South Africa,Left hand Bat,Bat,Wicketkeeper Batter,
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Allrounder,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Aiden Markram(c),South Africa,Right hand Bat,Right arm Offbreak,Allrounder,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"On his Test debut in 2021, Kyle Mayers scaled the impossible. Batting in Chattogram against Bangladesh after several first-choice players opted out of the Covid pandemic-affected tour, he scored an extraordinary 210 in the fourth innings, steering West Indies to a successful chase of 395. His innings - most of which was compiled in the company of fellow debutant Nkrumah Bonner during a 216-run fourth-wicket partnership - remains one of the most remarkable rookie acts in the history of the game."
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Batter,
Johnson Charles,West Indies,Right hand Bat,Bat,Wicketkeeper Batter,
Saurabh Netravalkar,U.S.A.,Right hand Bat,Left arm Fast medium,Bowler,"A tall left-arm fast bowler, Saurabh Netravalkar took 30 wickets in six games in the Cooch Behar Trophy in 2008-09. In 2010, he was India's highest wicket-taker at the Under-19 World Cup in New Zealand. He had hoped his performance would pave the way for a berth in the senior Mumbai set-up, and perhaps even an IPL contract. But the presence of Ajit Agarkar, Zaheer Khan, Aavishkar Salvi and a young Dhawal Kulkarni made it difficult for the youngster to break into the Mumbai side."
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
John Kariko,P.N.G.,Left hand Bat,Slow Left arm Orthodox,Bowler,
Sherfane Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,"Sherfane Rutherford made a name as a short-format allrounder, who can bowl medium pace and produce impactful cameos with the bat. His domestic career started with first-class games for Guyana in two seasons from 2016-17. Rutherford made his T20 debut in CPL 2018, just days short of turning 20, and hasn't looked back since. He smashed 171 runs at a strike rate of 142 for Guyana Amazon Warriors, and made his T20I debut for West Indies on the tour of Bangladesh later that year."
Roger Mukasa,Uganda,Right hand Bat,Right arm Offbreak,Batter,
Brian Masaba(c),Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler,
Cosmas Kyewuta,Uganda,Right hand Bat,Right arm Medium,Bowler,
Tony Ura,P.N.G.,Right hand Bat,Bat,Opening Batter,"Tony Ura is a right-hand batsman and wicketkeeper who began playing cricket at the age of 12. He had guidance from his father, Pala, and brother, Vali, who were both prominent cricketers and broke into the Papua New Guinea's Under-15 and U-19 sides. Tony helped PNG qualify for the U-19 World Cup in 2008 by scoring a rapid 74 against Vanuatu in the qualifiers, and smashed 76 in 55 balls against Bermuda to hand his team a famous win in the competition. He prepared for the Under-19 World Cup in New Zealand in 2010 by playing club cricket in Melbourne.Cricinfo staff January 2010"
Marco Jansen,South Africa,Right hand Bat,Left arm Fast,Bowling Allrounder,"Beanpole South Africa allrounder Marco Jansen generates steep bounce at sharp pace and can hit a long ball to go with it, giving his nation reason to hope they had a worthy successor to the Kallises and Pollocks of years gone by."
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,"A left-arm fast bowler from the Windward Islands, Obed McCoy's skilful changes in pace made him a natural fit for the T20 format."
Mitchell Marsh(c),Australia,Right hand Bat,Right arm Medium,Allrounder,
Robinson Obuya,Uganda,Right hand Bat,Bat,Batter,
Chad Soper,P.N.G.,Right hand Bat,Right arm Medium fast,Bowler,"Chad Soper's style of play, perhaps his entire career, is symbolic of most things to do with Papua New Guinea's national team. He does not have eye-popping talent, bowling stump-to-stump, often with the keeper standing up to the stumps, but his blue-collar work ethic has made him a staple of the national team. "
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. His offspin is better than part time and he has been an outstanding fielder."
Sese Bau,P.N.G.,Left hand Bat,Right arm Offbreak,Middle order Batter,"A prolific left-handed batsman who plays for the United Club in Port Moresby, Sese Bau scored 171 runs in the Under-19 World Cup Qualifiers. His cricketing hero is Adam Gilchrist, and his ambition is to represent Papua New Guinea's senior team at an ICC Cricket World Cup.
Cricinfo Staff, January 2010"
Riazat Ali Shah,Uganda,Right hand Bat,Right arm Medium,Batting Allrounder,
Kiplin Doriga,P.N.G.,Right hand Bat,Bat,Wicketkeeper Batter,
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,
